medicion_id,activo_id,tipo_medicion_id,fecha_hora,valor
1,2,1,2024-01-01 08:00:00,0.0
2,2,1,2024-02-01 08:00:00,384.3
3,2,1,2024-03-01 08:00:00,693.7
4,2,1,2024-04-01 08:00:00,1055.3
5,2,1,2024-05-01 08:00:00,1380.9
6,2,1,2024-06-01 08:00:00,1759.4
7,2,1,2024-07-01 08:00:00,2131.2
8,2,1,2024-08-01 08:00:00,2570.4
9,2,1,2024-09-01 08:00:00,2900.6
10,2,1,2024-10-01 08:00:00,3335.8
11,2,1,2024-11-01 08:00:00,3718.0
12,2,1,2024-12-01 08:00:00,4121.7
13,2,1,2025-01-01 08:00:00,4517.8
14,2,1,2025-02-01 08:00:00,4953.7
15,2,1,2025-03-01 08:00:00,5320.0
16,2,1,2025-04-01 08:00:00,5606.3
17,2,1,2025-05-01 08:00:00,5950.5
18,2,1,2025-06-01 08:00:00,6406.4
19,2,1,2025-07-01 08:00:00,6761.4
20,2,1,2025-08-01 08:00:00,7197.1
21,2,1,2025-09-01 08:00:00,7640.3
22,2,1,2025-10-01 08:00:00,7974.3
23,2,1,2025-11-01 08:00:00,8415.4
24,2,1,2025-12-01 08:00:00,8757.3
25,3,1,2024-01-01 08:00:00,0.0
26,3,1,2024-02-01 08:00:00,275.9
27,3,1,2024-03-01 08:00:00,494.0
28,3,1,2024-04-01 08:00:00,694.7
29,3,1,2024-05-01 08:00:00,938.7
30,3,1,2024-06-01 08:00:00,1205.1
31,3,1,2024-07-01 08:00:00,1453.5
32,3,1,2024-08-01 08:00:00,1675.4
33,3,1,2024-09-01 08:00:00,1898.9
34,3,1,2024-10-01 08:00:00,2135.4
35,3,1,2024-11-01 08:00:00,2338.5
36,3,1,2024-12-01 08:00:00,2608.4
37,3,1,2025-01-01 08:00:00,2800.9
38,3,1,2025-02-01 08:00:00,3038.1
39,3,1,2025-03-01 08:00:00,3291.4
40,3,1,2025-04-01 08:00:00,3533.5
41,3,1,2025-05-01 08:00:00,3793.8
42,3,1,2025-06-01 08:00:00,4002.3
43,3,1,2025-07-01 08:00:00,4227.2
44,3,1,2025-08-01 08:00:00,4490.6
45,3,1,2025-09-01 08:00:00,4774.4
46,3,1,2025-10-01 08:00:00,5021.5
47,3,1,2025-11-01 08:00:00,5230.4
48,3,1,2025-12-01 08:00:00,5421.6
49,4,1,2024-01-01 08:00:00,0.0
50,4,1,2024-02-01 08:00:00,455.5
51,4,1,2024-03-01 08:00:00,955.5
52,4,1,2024-04-01 08:00:00,1396.0
53,4,1,2024-05-01 08:00:00,1816.8
54,4,1,2024-06-01 08:00:00,2465.1
55,4,1,2024-07-01 08:00:00,2997.3
56,4,1,2024-08-01 08:00:00,3469.8
57,4,1,2024-09-01 08:00:00,4107.9
58,4,1,2024-10-01 08:00:00,4755.3
59,4,1,2024-11-01 08:00:00,5394.2
60,4,1,2024-12-01 08:00:00,5977.8
61,4,1,2025-01-01 08:00:00,6637.1
62,4,1,2025-02-01 08:00:00,7096.2
63,4,1,2025-03-01 08:00:00,7671.7
64,4,1,2025-04-01 08:00:00,8173.0
65,4,1,2025-05-01 08:00:00,8575.3
66,4,1,2025-06-01 08:00:00,8991.2
67,4,1,2025-07-01 08:00:00,9433.0
68,4,1,2025-08-01 08:00:00,10044.4
69,4,1,2025-09-01 08:00:00,10686.6
70,4,1,2025-10-01 08:00:00,11113.2
71,4,1,2025-11-01 08:00:00,11741.9
72,4,1,2025-12-01 08:00:00,12327.6
73,5,1,2024-01-01 08:00:00,0.0
74,5,1,2024-02-01 08:00:00,192.7
75,5,1,2024-03-01 08:00:00,398.4
76,5,1,2024-04-01 08:00:00,650.7
77,5,1,2024-05-01 08:00:00,939.2
78,5,1,2024-06-01 08:00:00,1140.0
79,5,1,2024-07-01 08:00:00,1362.8
80,5,1,2024-08-01 08:00:00,1620.7
81,5,1,2024-09-01 08:00:00,1898.3
82,5,1,2024-10-01 08:00:00,2187.5
83,5,1,2024-11-01 08:00:00,2432.3
84,5,1,2024-12-01 08:00:00,2712.7
85,5,1,2025-01-01 08:00:00,2975.4
86,5,1,2025-02-01 08:00:00,3188.2
87,5,1,2025-03-01 08:00:00,3421.4
88,5,1,2025-04-01 08:00:00,3647.5
89,5,1,2025-05-01 08:00:00,3911.8
90,5,1,2025-06-01 08:00:00,4134.4
91,5,1,2025-07-01 08:00:00,4347.2
92,5,1,2025-08-01 08:00:00,4649.6
93,5,1,2025-09-01 08:00:00,4947.6
94,5,1,2025-10-01 08:00:00,5182.5
95,5,1,2025-11-01 08:00:00,5463.1
96,5,1,2025-12-01 08:00:00,5760.1
97,6,1,2024-01-01 08:00:00,0.0
98,6,1,2024-02-01 08:00:00,230.5
99,6,1,2024-03-01 08:00:00,511.3
100,6,1,2024-04-01 08:00:00,722.5
101,6,1,2024-05-01 08:00:00,1011.5
102,6,1,2024-06-01 08:00:00,1235.3
103,6,1,2024-07-01 08:00:00,1483.4
104,6,1,2024-08-01 08:00:00,1785.3
105,6,1,2024-09-01 08:00:00,1992.1
106,6,1,2024-10-01 08:00:00,2298.4
107,6,1,2024-11-01 08:00:00,2524.3
108,6,1,2024-12-01 08:00:00,2777.9
109,6,1,2025-01-01 08:00:00,3069.7
110,6,1,2025-02-01 08:00:00,3283.6
111,6,1,2025-03-01 08:00:00,3532.7
112,6,1,2025-04-01 08:00:00,3796.7
113,6,1,2025-05-01 08:00:00,4060.7
